# z D Omega_21 Omega_22
2.299728863943330204e+00 3.819929479658037419e-01 -1.508798407012201803e+00 5.087870715671889421e-01
2.407934048389142045e+00 3.702388724642446949e-01 -1.508059421244993370e+00 5.080502536504218902e-01
2.519687512837256005e+00 3.588152483086212152e-01 -1.507388913645167694e+00 5.073814225072905693e-01
2.635105612996867297e+00 3.477189792994067052e-01 -1.506784119328172356e+00 5.067749856237148132e-01
2.754308520130355653e+00 3.369368015750534018e-01 -1.506230219214373278e+00 5.062247803449599903e-01
2.877420346173455101e+00 3.264718800086344741e-01 -1.505734019536978829e+00 5.057268719934461254e-01
3.004569272958381276e+00 3.163109072001548117e-01 -1.505282668603991292e+00 5.052760552361603708e-01
3.135887685674466852e+00 3.064470573820817223e-01 -1.504872347886839989e+00 5.048682352006489404e-01
3.271512310705248616e+00 2.968804968279962209e-01 -1.504506172263319508e+00 5.045002225510325511e-01
3.411584357985541160e+00 2.875955057491107469e-01 -1.504172102999523197e+00 5.041678566180450849e-01
3.556249668026686628e+00 2.785912070742150859e-01 -1.503872702282112783e+00 5.038684756629642214e-01
3.705658863763097166e+00 2.698590937872215600e-01 -1.503603563372739371e+00 5.035990868773670970e-01
3.859967507378155638e+00 2.613881168209943873e-01 -1.503359082487279119e+00 5.033568296575775536e-01
4.019336262272780402e+00 2.531804693831661845e-01 -1.503143570033550036e+00 5.031398861102340803e-01
4.183931060345287278e+00 2.452205986145590821e-01 -1.502948616356022393e+00 5.029455691119393279e-01
4.353923274756714257e+00 2.375046356731640718e-01 -1.502774432850788600e+00 5.027720916843870791e-01
4.529489898361495293e+00 2.300284161949185391e-01 -1.502620671762967319e+00 5.026177835504909153e-01
4.710813727989251909e+00 2.227797808612437536e-01 -1.502482569905931875e+00 5.024807548667727941e-01
4.898083554769589121e+00 2.157583022305145926e-01 -1.502361983594429073e+00 5.023598059573947117e-01
5.091494360698040289e+00 2.089536735491891450e-01 -1.502255485733993590e+00 5.022534204132774738e-01
5.291247521647832741e+00 2.023586382175326659e-01 -1.502161549197795321e+00 5.021603547638412435e-01
5.497551017038854404e+00 1.959726374401319915e-01 -1.502081497357194317e+00 5.020797078741876529e-01
5.710619646382102843e+00 1.897831558089209114e-01 -1.502011578259081492e+00 5.020102495875939930e-01
5.930675252925092344e+00 1.837880058249302950e-01 -1.501952428082151680e+00 5.019512031370378935e-01
6.157946954631083436e+00 1.779811932426598742e-01 -1.501903076196822617e+00 5.019017366327925833e-01
6.392671382732606489e+00 1.723539078917538658e-01 -1.501861747327489116e+00 5.018610231561934087e-01
6.635092928107671817e+00 1.669064191749663750e-01 -1.501829614042403893e+00 5.018285478715781567e-01
6.885463995735180198e+00 1.616283259501087310e-01 -1.501804488928297765e+00 5.018035753309239011e-01
7.144045267494476548e+00 1.565156259510175341e-01 -1.501786243542659438e+00 5.017855968545811285e-01
7.411105973582662543e+00 1.515657304310330245e-01 -1.501775011437489704e+00 5.017741756190643443e-01
7.686924172832261704e+00 1.467696247015157773e-01 -1.501769338355555483e+00 5.017687877775692806e-01
7.971787042221105679e+00 1.421262399759926354e-01 -1.501769721872099783e+00 5.017691141300938407e-01
8.265991175875871733e+00 1.376290296183159401e-01 -1.501775363607920966e+00 5.017747652287081195e-01
8.569842893880579737e+00 1.332721299117481661e-01 -1.501785716268381421e+00 5.017854073018622740e-01
8.883658561211593252e+00 1.290555537064851932e-01 -1.501801331115009797e+00 5.018008300503684627e-01
9.207764917131170179e+00 1.249703748432512002e-01 -1.501821099275219673e+00 5.018207135054836288e-01
9.542499415382547312e+00 1.210146052483989237e-01 -1.501845197964687406e+00 5.018448716526153763e-01
9.888210575540739455e+00 1.171846942578926715e-01 -1.501873491110727210e+00 5.018731166018266521e-01
1.024525834588489737e+01 1.134743068816409656e-01 -1.501905461651533713e+00 5.019052509045605071e-01
1.061401447817000587e+01 1.098831820401042769e-01 -1.501941455376027301e+00 5.019411696117820343e-01
1.099486291468817889e+01 1.064048742624971317e-01 -1.501980968836727159e+00 5.019807156002570325e-01
1.138820018802250722e+01 1.030360549218996835e-01 -1.502023944725972893e+00 5.020237862693176512e-01
1.179443583390969152e+01 9.977545321957846658e-02 -1.502070534626302134e+00 5.020703123578881266e-01
1.221399281764132994e+01 9.661674104149765852e-02 -1.502120342330708791e+00 5.021201935170381825e-01
1.264730797444781807e+01 9.355888575691541365e-02 -1.502173541307295856e+00 5.021733905301561940e-01
1.309483246432338177e+01 9.059799274625621179e-02 -1.502230006872124157e+00 5.022298518313009774e-01
1.355703224176579802e+01 8.772969716046319366e-02 -1.502289601445750300e+00 5.022895364341033453e-01
1.403438854091987764e+01 8.495426293392795147e-02 -1.502352567622654567e+00 5.023524459285937382e-01
1.452739837662987021e+01 8.226567501780469860e-02 -1.502418643638888440e+00 5.024185499175974901e-01
1.503657506192242010e+01 7.966231514910383782e-02 -1.502487925029206028e+00 5.024878572916805508e-01
1.556244874245892262e+01 7.714223576790336934e-02 -1.502560468046514330e+00 5.025603825355727805e-01
1.610556694851369741e+01 7.470101003305462672e-02 -1.502636178257424238e+00 5.026361359340419943e-01
1.666649516505272643e+01 7.233824467357292953e-02 -1.502715213023082752e+00 5.027151566585349451e-01
1.724581742050649424e+01 7.005006019364679037e-02 -1.502797524079555913e+00 5.027974742354677229e-01
1.784413689484994947e+01 6.783386108048575225e-02 -1.502883149713191813e+00 5.028831325402866037e-01
1.846207654762269712e+01 6.568916080575852579e-02 -1.502972227876242517e+00 5.029721905396116188e-01
1.910027976654334481e+01 6.361158723379609081e-02 -1.503064717140382367e+00 5.030646988370268691e-01
1.975941103739329208e+01 6.160028062700407397e-02 -1.503160742177477305e+00 5.031607281317846958e-01
2.044015663586744580e+01 5.965300038669663074e-02 -1.503260366601140152e+00 5.032603501463839279e-01
2.114322534211219917e+01 5.776669093900277385e-02 -1.503363633005870170e+00 5.033636408079286140e-01
2.186934917869466943e+01 5.594136588228414836e-02 -1.503470694918457307e+00 5.034706909676864850e-01
2.261928417277144732e+01 5.417336365534318465e-02 -1.503581583795182475e+00 5.035815870920515858e-01
2.339381114325063393e+01 5.246131462498045822e-02 -1.503696414224968469e+00 5.036964280712262765e-01
2.419373651376648482e+01 5.080421882563312952e-02 -1.503815310240493419e+00 5.038153190492661304e-01
2.501989315231328348e+01 4.919901104358153504e-02 -1.503938346006692850e+00 5.039383665926812084e-01
2.587314123841260738e+01 4.764529891077370211e-02 -1.504065668840228964e+00 5.040656886267160797e-01
2.675436915871688370e+01 4.614078766908366602e-02 -1.504197383159451507e+00 5.041974050452765477e-01
2.766449443198165525e+01 4.468351145695269311e-02 -1.504333609426815155e+00 5.043336425063528194e-01
2.860446466436974688e+01 4.327339377050391095e-02 -1.504474507768361446e+00 5.044745362309018821e-01
2.957525853608182231e+01 4.190743003256598709e-02 -1.504620189038762934e+00 5.046202231349887768e-01
3.057788682034072281e+01 4.058494210967247134e-02 -1.504770811815910658e+00 5.047708494172100657e-01
